Day,Compound Sentiment
Date,0
2022-09-29,0.010253125000000016
2022-09-28,-0.04671168831168831
2022-09-27,0.1428
2022-09-26,0.28615882352941174
2022-09-25,0.12391428571428571
2022-09-24,0.23786666666666667
2022-09-23,0.01035833333333333
2022-09-22,0.322425
2022-09-21,0.04026000000000001
2022-09-20,0.06235833333333334
2022-09-19,0.23039
2022-09-18,0.2808
2022-09-17,0.29923076923076924
2022-09-16,0.1996888888888889
2022-09-15,0.1783823529411765
2022-09-14,0.15557999999999997
2022-09-13,0.1268
2022-09-12,0.20572083333333332
2022-09-11,0.19937142857142856
2022-09-10,0.07583749999999999
2022-09-09,0.08133636363636366
2022-09-08,0.024884210526315797
2022-09-07,0.036350000000000014
2022-09-06,0.189695
2022-09-05,-0.05677692307692309
2022-09-04,0.2787
2022-09-03,0.06932499999999998
2022-09-02,0.15886999999999998
2022-09-01,0.06897368421052633
2022-08-31,0.10410000000000001
2022-08-30,0.25402307692307696
2022-08-29,0.2667357142857143
2022-08-28,0.22212500000000002
2022-08-27,0.10716
2022-08-26,0.09175
2022-08-25,0.03286666666666666
2022-08-24,0.10855454545454547
2022-08-23,0.053661111111111125
2022-08-22,0.0942235294117647
2022-08-21,0.33383636363636365
2022-08-20,0.2068090909090909
2022-08-19,0.03735555555555557
2022-08-18,0.08268333333333334
2022-08-17,0.09554848484848485
2022-08-16,0.108125
2022-08-15,0.10726923076923077
2022-08-14,0.13935555555555557
2022-08-13,0.2077176470588236
2022-08-12,0.12324999999999998
2022-08-11,0.12671600000000002
2022-08-10,0.08345555555555556
2022-08-09,-0.0772764705882353
2022-08-08,0.06536842105263156
2022-08-07,-0.047109090909090906
2022-08-06,0.35429999999999995
2022-08-05,-0.27564
2022-08-04,0.21754444444444443
2022-08-03,-0.00704000000000001
2022-08-02,-0.03930588235294116
2022-08-01,0.14416923076923077
2022-07-31,0.16547272727272724
2022-07-30,0.18667499999999998
2022-07-29,0.20855238095238096
2022-07-28,0.07896041666666666
2022-07-27,0.2340136363636364
2022-07-26,0.03319166666666667
2022-07-25,0.24749600000000005
2022-07-24,0.10870476190476193
2022-07-23,0.15416666666666667
2022-07-22,0.11521538461538462
2022-07-21,0.06538999999999999
2022-07-20,0.17049090909090908
2022-07-19,0.023663157894736837
2022-07-18,0.09753448275862069
2022-07-17,0.152275
2022-07-16,0.08389
2022-07-15,0.06339375000000001
2022-07-14,0.13945
2022-07-13,0.3568428571428571
2022-07-12,0.2898
2022-07-11,0.015759999999999996
2022-07-10,0.390675
2022-07-09,0.5871714285714287
2022-07-08,0.015933333333333338
2022-07-07,0.22038571428571427
2022-07-06,-0.03932631578947368
2022-07-05,-0.5303666666666667
2022-07-04,0.30835
2022-07-03,-0.23396666666666666
2022-07-02,0.08997999999999999
2022-07-01,0.03184
2022-06-30,0.19192307692307692
2022-06-29,0.34570000000000006
2022-06-28,0.197475
2022-06-27,0.274175
2022-06-26,0.5262249999999999
2022-06-25,0.004725000000000007
2022-06-24,0.24975000000000003
2022-06-23,0.1758833333333333
2022-06-22,0.32608
2022-06-21,0.18517999999999998
2022-06-20,0.4379571428571429
2022-06-19,0.14375
2022-06-18,0.07094
2022-06-17,0.04783333333333332
2022-06-16,-0.181025
2022-06-15,-0.06960000000000001
2022-06-14,0.032907692307692304
2022-06-13,0.11186923076923076
2022-06-12,0.018877777777777768
2022-06-11,0.020900000000000005
2022-06-10,0.0751
2022-06-09,0.007680000000000015
2022-06-08,0.15283888888888889
2022-06-07,0.10829230769230769
2022-06-06,0.09095000000000002
2022-06-05,0.09255454545454546
2022-06-04,-0.019800000000000012
2022-06-03,-0.10726666666666668
2022-06-02,0.15886363636363637
2022-06-01,0.1962166666666667
2022-05-31,0.333575
2022-05-30,0.016700000000000007
2022-05-29,0.11887142857142859
2022-05-28,-0.3561571428571429
2022-05-27,0.0800235294117647
2022-05-26,0.07981249999999997
2022-05-25,0.1463307692307692
2022-05-24,-0.01867272727272725
2022-05-23,0.21063157894736842
2022-05-22,0.19562727272727276
2022-05-21,0.10236363636363635
2022-05-20,0.30852500000000005
2022-05-19,0.0022600000000000007
2022-05-18,0.09176756756756758
2022-05-17,0.2235666666666667
2022-05-16,0.21766538461538465
2022-05-15,0.10802857142857143
2022-05-14,0.2552307692307692
2022-05-13,0.13605789473684207
2022-05-12,0.13194857142857147
2022-05-11,0.08185263157894737
2022-05-10,0.143275
2022-05-09,0.04400624999999999
2022-05-08,-0.11867857142857144
2022-05-07,0.14955555555555555
2022-05-06,0.13092941176470588
2022-05-05,0.15144000000000002
2022-05-04,0.16405
2022-05-03,0.13380714285714285
2022-05-02,0.14213076923076923
2022-05-01,0.25105999999999995
2022-04-30,0.2855333333333333
2022-04-29,0.12864545454545456
2022-04-28,0.04300458715596333
2022-04-27,0.23276363636363637
2022-04-26,0.11147368421052634
2022-04-25,-0.004685000000000009
2022-04-24,0.16716874999999998
2022-04-23,0.09934615384615385
2022-04-22,0.009178947368421047
2022-04-21,0.31701428571428575
2022-04-20,0.20285789473684213
2022-04-19,0.12446666666666666
2022-04-18,0.15928571428571428
2022-04-17,-0.10331428571428572
2022-04-16,0.2751909090909091
2022-04-15,0.06038
2022-04-14,0.5788142857142857
2022-04-13,0.2669181818181818
2022-04-12,-0.026566666666666676
2022-04-11,-0.07714
2022-04-10,0.07835
2022-04-09,0.46162000000000003
2022-04-08,0.039918181818181804
2022-04-07,-0.1667
2022-04-06,0.0017099999999999893
2022-04-05,0.02343333333333334
2022-04-04,0.3333928571428571
2022-04-03,0.0903
