Day,Compound Sentiment
2021-12-29,0.37454
2021-12-28,0.15713333333333332
2021-12-27,0.03420000000000001
2021-12-26,0.4217666666666666
2021-12-25,0
2021-12-24,0
2021-12-23,0.626
2021-12-22,0.59075
2021-12-21,0.6486
2021-12-20,0.3769
2021-12-19,0.47665
2021-12-18,-0.9623
2021-12-17,0
2021-12-16,0.30116666666666664
2021-12-15,0.6259
2021-12-14,-0.4847
2021-12-13,-0.1487
2021-12-12,0
2021-12-11,-0.21945
2021-12-10,0.4766
2021-12-09,0.0
2021-12-08,-0.09683999999999998
2021-12-07,0.28744000000000003
2021-12-06,-0.15492499999999998
2021-12-05,0.4753
2021-12-04,-0.1531
2021-12-03,-0.016566666666666674
2021-12-02,0
2021-12-01,0.6652
2021-11-30,0
2021-11-29,0.2263
2021-11-28,0.8225
2021-11-27,0
2021-11-26,0
2021-11-25,0.0
2021-11-24,0.128
2021-11-23,0
2021-11-22,0.4702
2021-11-21,-0.5574
2021-11-20,0.6908
2021-11-19,0.1779
2021-11-18,0.0
2021-11-17,-0.3624
2021-11-16,0.23925
2021-11-15,0.0
2021-11-14,0.8208
2021-11-13,-0.007050000000000001
2021-11-12,0
2021-11-11,0.029428571428571422
2021-11-10,0.1366
2021-11-09,-0.2263
2021-11-08,0.28814999999999996
2021-11-07,0.22975
2021-11-06,0.41708
2021-11-05,0.35875
2021-11-04,0
2021-11-03,0.5554666666666667
2021-11-02,-0.33165
2021-11-01,0.2263
2021-10-31,0
2021-10-30,-0.037950000000000005
2021-10-29,-0.17
2021-10-28,0.25
2021-10-27,-0.1147
2021-10-26,0.4218
2021-10-25,0.2202
2021-10-24,0
2021-10-23,0
2021-10-22,0
2021-10-21,0.0
2021-10-20,0.886
2021-10-19,-0.2002
2021-10-18,0.41000000000000003
2021-10-17,0
2021-10-16,0.34
2021-10-15,0.3982
2021-10-14,0.2787
2021-10-13,0.765
2021-10-12,0.08895
2021-10-11,0
2021-10-10,0.5319
2021-10-09,0.3818
2021-10-08,0.0
2021-10-07,0.3446
2021-10-06,0
2021-10-05,0
2021-10-04,0
2021-10-03,0
2021-10-02,0.23016666666666666
2021-10-01,0.66695
2021-09-30,0.4633
